开始时间：2020年08月06日 13:51:57 												
传感器1	加速度X	加速度Y	加速度Z	角速度X	角速度Y	角速度Z	角度X	角度Y	角度Z	传感器2	加速度X	加速度Y
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.02	0.99	-0.61	-0.61	0.06	1.3	2.16	93.44	相对角度姿态	1.3	2.16
Mac:DA:3E:20:B6:30:BA传感器0	-0.02	0.03	1	0.49	0.49	0.49	1.4	2.07	93.46	相对角度姿态	1.4	2.07
Mac:DA:3E:20:B6:30:BA传感器0	-0.05	0.03	0.99	0.43	0.43	-0.67	1.52	2.26	93.54	相对角度姿态	1.52	2.26
Mac:DA:3E:20:B6:30:BA传感器0	-0.03	0.03	1.01	0.31	0.31	-1.34	1.64	2.44	93.46	相对角度姿态	1.64	2.44
Mac:DA:3E:20:B6:30:BA传感器0	-0.03	0.03	1	-0.73	-0.73	-0.18	1.62	2.43	93.48	相对角度姿态	1.62	2.43
Mac:DA:3E:20:B6:30:BA传感器0	-0.05	0.03	0.99	-0.85	-0.85	0.06	1.48	2.41	93.54	相对角度姿态	1.48	2.41
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.02	0.98	0.37	0.37	-0.49	1.4	2.4	93.52	相对角度姿态	1.4	2.4
Mac:DA:3E:20:B6:30:BA传感器0	-0.03	0.02	0.99	2.69	2.69	-0.06	1.46	2.44	93.5	相对角度姿态	1.46	2.44
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.03	1.01	0.37	0.37	0.12	1.63	2.43	93.53	相对角度姿态	1.63	2.43
Mac:DA:3E:20:B6:30:BA传感器0	-0.05	0.02	0.98	-0.79	-0.79	0	1.61	2.46	93.58	相对角度姿态	1.61	2.46
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.02	0.97	0.79	0.79	0	1.55	2.55	93.52	相对角度姿态	1.55	2.55
Mac:DA:3E:20:B6:30:BA传感器0	-0.03	0.04	1.01	1.4	1.4	-0.85	1.69	2.49	93.51	相对角度姿态	1.69	2.49
Mac:DA:3E:20:B6:30:BA传感器0	-0.07	0.02	0.97	0.06	0.06	2.14	1.7	2.43	93.63	相对角度姿态	1.7	2.43
